"","Treatment","Mean","97.5%","2.5%"
"1","disturb_benth",2437.433667986,3418.32601672304,1718.83449695896
"2","disturb_wood",218.05541400802,298.671356380088,147.471087272769
"3","floodforest_benth",1812.46264343405,2413.24109437978,1285.45563583734
"4","phase3",8719.30711725084,12152.4659140941,6308.31462932654
"5","phase4",3435.68959340985,4582.1970563526,2442.09828290462
"6","relic_chan_benth",1125.76282990753,1483.99660373966,835.228038683931
"7","relic_chan_wood",317.124529082495,457.6501589748,195.978299725225
