Season,Treatment
Fall,Restored
Spring,Restored
Summer,Restored
Winter,Restored
Fall,Restored
Spring,Restored
Summer,Restored
Winter,Restored
Fall,Unrestored
Spring,Unrestored
Summer,Unrestored
Winter,Unrestored
Fall,Unrestored
Spring,Unrestored
Summer,Unrestored
Winter,Unrestored
Fall,Restored
Spring,Restored
Summer,Restored
Winter,Restored
