"","Pacifastacus","Baetis alius","Baetis tricaudatus complex","Diphetor hageni","Brachycentrus americanus","Micrasema","Capniidae","Chironomidae","Micropsectra","Cricotopus (Nostococladius)","Eukiefferiella brehmi group","Eukiefferiella devonica group","Orthocladius","Rheocricotopus","Synorthocladius","Tvetenia bavarica group","Thienemannimyia complex","Chloroperlidae","Sweltsa","Ampumixis dispar","Clinocera","Neoplasta","Wiedemannia","Attenella margarita","Caudatella edmundsi","Caudatella hystrix","Drunella flavilinea","Ephemerella excrucians group","Ephemerella tibialis","Matriella teresa","Serratella micheneri","Glossosoma","Cinygmula","Epeorus","Epeorus albertae group","Arctopsyche","Hydropsyche","Hydroptila","Lepidostoma (Neodinarthrum)","Neoleptophlebia/Paraleptophlebia","Dicosmoecus gilvipes","Nemata","Malenka","Zapada cinctipes","Oligochaeta","Ostracoda","Hesperoperla pacifica","Cultus","Isoperla","Osobenus yakimae","Perlinodes aurea","Skwala","Pteronarcys californica","Rhyacophila arnaudi","Rhyacophila brunnea/vemna group","Simulium","Pisidium","Antocha","Ameletus","Sublettea","Menetus","Juga","Attenella delantala","Ceratopogoninae","Chelifera/Metachela","Cladotanytarsus","Heterotrissocladius marcidus group","Ironodes","Narpus concolor","Onocosmoecus unicolor","Pagastia","Parametriocnemus","Paratanytarsus","Perlodidae","Phaenopsectra","Polypedilum","Psectrocladius","Rhithrogena","Rhyacophila betteni group","Stempellinella","Tanytarsus","Rheotanytarsus","Brillia","Corynoneura","Nanocladius","Thienemanniella","Pentaneura","Lepidostoma unicolor group","Anafroptilum","Labiobaetis","Macropelopia","Cleptelmis addenda","Cinygma","Hydatophylax hesperus","Psychoglypha bella","Psychoglypha subborealis"
"Phase_3",21.4223527699457,8.97495619320785,24.4240332930497,4.07052008224993,4.91221139203109,15.0329385883133,4.00376820008352,3.60553747033643,2.14875605479077,3.05688469802183,1.55737912179405,2.59878641061554,11.1931411855654,0.919400637371978,1.06292023219054,2.30378814954848,7.30672455139784,4.65112178619309,9.56419362047841,5.86101802590642,1.63525133633946,3.64937004837821,2.80366788689388,3.3310232046625,7.12017844790424,5.87337738188174,12.4773667133735,19.9633084181956,5.66446241138557,2.43751552815567,5.903748615075,6.05266833718815,8.74489768322077,3.94650812744634,8.64334108085525,16.8616656472604,39.6056232749846,3.06651441346686,5.49264472271783,5.0531547789475,6.9391216043531,4.29335773724948,4.03064892418082,1.72235326602878,6.58846667821884,0.937176417223566,31.1695732999347,13.3134118204163,5.17998453665646,8.26102997452497,18.2165175733454,20.9857157133132,34.9914825493291,6.90241160392511,8.39225472385103,3.54100579496843,2.11658598148055,3.74609280584451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase_4",0,8.37047884890703,15.8339107866629,1.58783004852535,0,9.24835828404155,0,2.60385137363867,0.86620022512119,1.57803315903057,0.657614527667995,1.21037992465176,7.40078594610059,0,0,0.876003948621238,5.30610967282057,2.75967026418012,3.11128683762844,0,0,0,1.89211141373863,3.14121492722163,3.77771701428257,0,8.55782486441502,14.4022559413447,0,0,7.27375925983257,3.71985902958701,3.52858048654129,1.76380856585969,6.21049818694121,6.1476071621404,24.4789745659413,0,0,1.98319777631985,0,3.27851705196115,2.01285905120056,0,4.64301358279297,0.461499369447023,13.1374372234466,4.96295758696364,2.09774075686201,4.81788188834056,0,17.2819416009892,24.4370069136955,0,7.05183559153218,0,0,4.58566548605543,0.697841567262943,0.431341602445208,2.1384585205236,16.8819511313118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pretreat_main_ch",0,4.17738041360851,11.9876370857646,2.85300749473253,3.32020072736574,0,0,1.67095593239319,2.07062117950146,0.973966634952143,0,0.638561942962466,3.37087449632881,0,0.802110025495256,1.45121261088787,6.36006060584331,1.82595654877108,3.16094970538919,1.48119741155593,2.90154626690666,1.53315825275801,0,1.34877264392484,0,0,3.83328124457364,9.11390175062251,0,0,0,4.47036296848477,11.6734855463139,1.40077939269537,0,0,16.1209468332353,1.54513974513634,1.70935969824961,3.6169005073405,9.26448745587148,5.38739684820044,4.07385390508791,1.16803226111268,4.90953786012492,0.540796810271658,20.6414139656178,8.01396465739649,2.5636634812315,0,0,17.3124629992384,0,0,6.57415577850115,2.96385352151553,0,0,0,0,0,0,5.51694302399436,3.26190551212018,2.21525118101763,1.33690523897545,1.29097099812505,4.59603776311727,1.04079367551883,9.50905892452034,2.22449487434788,2.79029440292597,2.7463358201429,2.01442805778712,6.68575403077319,2.69153769488744,3.21751898362698,8.64686129182144,5.06522990100153,0.569303152986175,1.48574211860605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Side_chan",0,6.40670115269941,10.6722234375035,6.52087532084459,3.318857975268,3.79474501910207,0.799615036752061,1.25473544143776,1.27954243305957,0,0,0,1.36855711608979,0.875482474410539,0,2.61991975468715,4.62231570968492,0,0,1.01156618221449,1.29946211603109,1.03300808515713,0,1.53250317878953,1.55571095612263,0,1.28082767146873,7.34401946416266,0,0,0,0,4.44187201413998,0,0,0,7.1230989358565,1.09610136210115,0,6.27376799459464,7.2467915369493,3.85510502191575,4.74714206444256,0,7.17232238051247,0.445595810123928,7.46676791590578,2.21996561887791,6.75454078824016,0,0,7.00711420700419,0,0,4.98925537530401,4.48608952541074,2.7581138373896,0,0,0,7.09368642103667,0,2.23778602574062,2.04299120311371,0,0.827857920177128,0,3.77223530019006,0,0,2.72750502016037,2.78790044370311,0,0,0,1.79798706919711,0,0,0,0.398008841610334,1.12105246531998,0.691091527946914,1.60207464744936,0.781358412637888,0.51047430101818,0.632570362884636,1.91523390503614,3.29891922301835,0,0,0,0,0,0,0,0
"Wetted_forest",0,4.80092513376328,6.13149991845389,5.17388872609375,2.34802322475737,2.34031290429293,0,1.74735319011355,2.74889380278686,0,0,0,0.931140261722153,0,0,1.55723141761268,6.95477423645081,0,0,0,3.2267673653364,0,0,0,0,0,0,11.7857671239508,0,0,0,0,0,0,0,0,4.53095448995021,1.34648820455287,0,9.60444941628618,0,3.76330250976453,8.97084090818692,0,9.31896742294982,1.3630598325092,8.16427031460865,0,0,0,0,0,0,0,3.79821237031317,0,0,0,0,0,3.76732199446769,0,0,3.22904155903884,0,0.618075248655048,3.02060245447825,4.47535133257714,0,0,0,4.69652395394722,0,0,9.83665928809166,4.61557874269305,0,0,0,0.616083752423321,1.96267749439382,0,2.40292943987126,0.634349867975079,0,0,0,4.81786197602214,3.96689782701798,4.19590979645654,4.264163534622,2.07259194030084,4.74096575815519,10.0955034743196,12.3913781033427,5.27764756970376
