"","Pacifastacus","Baetis alius","Baetis tricaudatus complex","Diphetor hageni","Brachycentrus americanus","Micrasema","Capniidae","Chironomidae","Micropsectra","Cricotopus (Nostococladius)","Eukiefferiella brehmi group","Eukiefferiella devonica group","Orthocladius","Rheocricotopus","Synorthocladius","Tvetenia bavarica group","Thienemannimyia complex","Chloroperlidae","Sweltsa","Ampumixis dispar","Clinocera","Neoplasta","Wiedemannia","Attenella margarita","Caudatella edmundsi","Caudatella hystrix","Drunella flavilinea","Ephemerella excrucians group","Ephemerella tibialis","Matriella teresa","Serratella micheneri","Glossosoma","Cinygmula","Epeorus","Epeorus albertae group","Arctopsyche","Hydropsyche","Hydroptila","Lepidostoma (Neodinarthrum)","Neoleptophlebia/Paraleptophlebia","Dicosmoecus gilvipes","Nemata","Malenka","Zapada cinctipes","Oligochaeta","Ostracoda","Hesperoperla pacifica","Cultus","Isoperla","Osobenus yakimae","Perlinodes aurea","Skwala","Pteronarcys californica","Rhyacophila arnaudi","Rhyacophila brunnea/vemna group","Simulium","Pisidium","Antocha","Ameletus","Sublettea","Menetus","Juga","Attenella delantala","Ceratopogoninae","Chelifera/Metachela","Cladotanytarsus","Heterotrissocladius marcidus group","Ironodes","Narpus concolor","Onocosmoecus unicolor","Pagastia","Parametriocnemus","Paratanytarsus","Perlodidae","Phaenopsectra","Polypedilum","Psectrocladius","Rhithrogena","Rhyacophila betteni group","Stempellinella","Tanytarsus","Rheotanytarsus","Brillia","Corynoneura","Nanocladius","Thienemanniella","Pentaneura","Lepidostoma unicolor group","Anafroptilum","Labiobaetis","Macropelopia","Cleptelmis addenda","Cinygma","Hydatophylax hesperus","Psychoglypha bella","Psychoglypha subborealis"
"Phase_3",458.9171982,80.54983867,596.5334023,16.56913374,24.12982076,225.9892426,16.0301598,12.99990045,4.617152583,9.344544057,2.425429729,6.753690808,125.2864096,0.845297532,1.12979942,5.307439838,53.38822367,21.63293387,91.47379961,34.3515323,2.674046933,13.31790175,7.86055362,11.09571559,50.69694113,34.49656187,155.6846801,398.533683,32.08613441,5.94148195,34.85424771,36.634794,76.47323549,15.5749264,74.70734504,284.3157684,1568.605395,9.403510648,30.16914605,25.53437322,48.15140864,18.43292066,16.24613075,2.966500773,43.40789317,0.878299637,971.5422997,177.2469343,26.8322398,68.24461624,331.8415125,440.400264,1224.403851,47.64328595,70.42993935,12.53872204,4.479936217,14.03321131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase_4",0,70.06491616,250.7127308,2.521204263,0,85.53213095,0,6.780041976,0.75030283,2.490188651,0.432456867,1.465019562,54.77163262,0,0,0.767382918,28.15479986,7.615779967,9.680105786,0,0,0,3.580085602,9.867231219,14.27114584,0,73.23636641,207.4249762,0,0,52.90757377,13.8373512,12.45088025,3.111020657,38.57028773,37.79307382,599.2201958,0,0,3.93307342,0,10.74867406,4.05160156,0,21.55757513,0.212981668,172.5922568,24.63094801,4.400516283,23.21198589,0,298.6655055,597.1673069,0,49.72838521,0,0,21.02832795,0.486982853,0.186055578,4.573004844,285.000274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pretreat_main_ch",0,17.45050712,143.7034429,8.139651765,11.02373287,0,0,2.792093728,4.287472069,0.948611006,0,0.407761355,11.36279487,0,0.643380493,2.106018042,40.45037091,3.334117318,9.99160304,2.193945772,8.418970739,2.350574228,0,1.819187645,0,0,14.6940451,83.06320512,0,0,0,19.98414507,136.2702648,1.962182907,0,0,259.8849268,2.387456832,2.921910578,13.08196928,85.83072782,29.0240448,16.59628564,1.364299363,24.103562,0.29246119,426.0679705,64.22362953,6.572370445,0,0,299.7213751,0,0,43.2195242,8.784427697,0,0,0,0,0,0,30.43666033,10.64002757,4.907337795,1.787315618,1.666606118,21.12356312,1.083251475,90.42220163,4.948377446,7.785742855,7.542360437,4.0579204,44.69930696,7.244375163,10.35242841,74.7682102,25.65655395,0.32410608,2.207429643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Side_chan",0,41.04581966,113.8963531,42.52181495,11.01481826,14.40008976,0.639384207,1.574361028,1.637228838,0,0,0,1.87294858,0.766469563,0,6.863979521,21.36580252,0,0,1.023266141,1.688601791,1.067105704,0,2.348565993,2.420236579,0,1.640519524,53.93462189,0,0,0,0,19.73022699,0,0,0,50.73853845,1.201438196,0,39.36016485,52.51598758,14.86183473,22.53535778,0,51.44220833,0.198555626,55.75262311,4.928247349,45.62382126,0,0,49.09964951,0,0,24.8926692,20.12499923,7.60719194,0,0,0,50.32038704,0,5.007686297,4.173813056,0,0.685348736,0,14.22975916,0,0,7.439283635,7.772388884,0,0,0,3.232757501,0,0,0,0.158411038,1.25675863,0.4776075,2.566643176,0.610520969,0.260584012,0.400145264,3.668120911,10.88286804,0,0,0,0,0,0,0,0
"Wetted_forest",0,23.04888214,37.59529125,26.76912455,5.513213064,5.47706449,0,3.053243171,7.556417139,0,0,0,0.867022187,0,0,2.424969688,48.36888468,0,0,0,10.41202763,0,0,0,0,0,0,138.9043067,0,0,0,0,0,0,0,0,20.52954859,1.813030485,0,92.24544859,0,14.16244578,80.4759866,0,86.84315383,1.857932107,66.65530977,0,0,0,0,0,0,0,14.42641721,0,0,0,0,0,14.19271501,0,0,10.42670939,0,0.382017013,9.124039188,20.02876955,0,0,0,22.05733725,0,0,96.75986595,21.30356713,0,0,0,0.37955919,3.852102947,0,5.774069893,0.402399755,0,0,0,23.21179402,15.73627837,17.60565902,18.18309065,4.295637351,22.47675632,101.9191904,153.5462513,27.85356387
